surface,global_order,mode,mode_round,sample,ns
witness,33,on,2,3,138056062.625
witness,33,on,2,4,87024211.25
witness,33,on,2,5,119759577.875
witness,33,on,2,6,85921901.375
witness,33,on,2,7,92991591.125
witness,34,off,2,1,132247146.875
witness,34,off,2,2,85713087.0
witness,34,off,2,3,84490456.125
witness,34,off,2,4,78396118.375
witness,34,off,2,5,100189306.625
witness,34,off,2,6,95004065.375
witness,34,off,2,7,95961042.125
witness,35,on,3,1,81192356.375
witness,35,on,3,2,109410265.125
witness,35,on,3,3,92572774.25
witness,35,on,3,4,83441587.625
witness,35,on,3,5,79482249.75
witness,35,on,3,6,79055916.5
witness,35,on,3,7,73009835.25
witness,36,off,3,1,81322417.375
witness,36,off,3,2,84889086.125
witness,36,off,3,3,79974927.875
witness,36,off,3,4,113125907.0
witness,36,off,3,5,96138143.25
witness,36,off,3,6,81336370.875
witness,36,off,3,7,95045943.125
witness,37,on,4,1,90269219.375
witness,37,on,4,2,83015508.0
witness,37,on,4,3,79801901.625
witness,37,on,4,4,87098458.25
witness,37,on,4,5,82355784.875
witness,37,on,4,6,82737216.625
witness,37,on,4,7,91716650.5
witness,38,off,4,1,97956403.875
witness,38,off,4,2,88096595.375
witness,38,off,4,3,102644215.75
witness,38,off,4,4,82604158.25
witness,38,off,4,5,100862459.375
witness,38,off,4,6,85463103.75
witness,38,off,4,7,112480249.875
witness,39,on,5,1,89958927.375
witness,39,on,5,2,84835582.25
witness,39,on,5,3,84023403.875
witness,39,on,5,4,84299945.25
witness,39,on,5,5,88249380.125
witness,39,on,5,6,97561038.25
witness,39,on,5,7,84070992.875
witness,40,off,5,1,88044289.625
witness,40,off,5,2,105376202.125
witness,40,off,5,3,98675799.75
witness,40,off,5,4,83809106.125
witness,40,off,5,5,96061492.875
witness,40,off,5,6,81688680.75
witness,40,off,5,7,99771112.875
